CST;Descricao;Tributavel
01;Operação Tributável com Alíquota Básica;Sim
02;Operação Tributável com Alíquota Diferenciada;Sim
03;Operação Tributável com Alíquota por Unidade de Medida de Produto;Sim
04;Operação Tributável Monofásica - Revenda a Alíquota Zero;Sim
05;Operação Tributável por Substituição Tributária;Sim
06;Operação Tributável a Alíquota Zero;Sim
07;Operação Isenta da Contribuição;Não
08;Operação sem Incidência da Contribuição;Não
09;Operação com Suspensão da Contribuição;Não
49;Outras Operações de Saída;Não
50;Operação com Direito a Crédito - Vinculada Exclusivamente a Receita Tributada no Mercado Interno;Sim
51;Operação com Direito a Crédito - Vinculada Exclusivamente a Receita Não-Tributada no Mercado Interno;Sim
52;Operação com Direito a Crédito - Vinculada Exclusivamente a Receita de Exportação;Sim
53;Operação com Direito a Crédito - Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno;Sim
54;Operação com Direito a Crédito - Vinculada a Receitas Tributadas no Mercado Interno e de Exportação;Sim
55;Operação com Direito a Crédito - Vinculada a Receitas Não Tributadas no Mercado Interno e de Exportação;Sim
56;Operação com Direito a Crédito - Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno e de Exportação;Sim
60;Crédito Presumido - Operação de Aquisição Vinculada Exclusivamente a Receita Tributada no Mercado Interno;Sim
61;Crédito Presumido - Operação de Aquisição Vinculada Exclusivamente a Receita Não-Tributada no Mercado Interno;Não
62;Crédito Presumido - Operação de Aquisição Vinculada Exclusivamente a Receita de Exportação;Sim
63;Crédito Presumido - Operação de Aquisição Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno;Não
64;Crédito Presumido - Operação de Aquisição Vinculada a Receitas Tributadas no Mercado Interno e de Exportação;Sim
65;Crédito Presumido - Operação de Aquisição Vinculada a Receitas Não-Tributadas no Mercado Interno e de Exportação;Sim
66;Crédito Presumido - Operação de Aquisição Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno e de Exportação;Sim
67;Crédito Presumido - Outras Operações;Não
70;Operação de Aquisição sem Direito a Crédito;Não
71;Operação de Aquisição com Isenção;Não
72;Operação de Aquisição com Suspensão;Não
73;Operação de Aquisição a Alíquota Zero;Sim
74;Operação de Aquisição sem Incidência da Contribuição;Não
75;Operação de Aquisição por Substituição Tributária;Não
98;Outras Operações de Entrada;Não
99;Outras Operações;Não